school_name,year_established,city,state,address,phone,whatsapp,email,principal_name,director_name,website,website_status,instagram,facebook,linkedin,google_maps,lead_score,notes
S.S. Children Academy School,2021,Jaipur,Rajasthan,"35 Vishnu Colony, Opposite ESIC Hospital, Sodala",+918118803203,+918118803203,Unknown,Unknown,Unknown,,none,https://www.instagram.com/ssca.school_jaipur/,,,https://www.google.com/maps/search/SS+Children+Academy+Jaipur,10,Admission enquiry reel with direct phone; verify website.
Bachpan Play School Shamshabad,2022,Hyderabad,Telangana,"R.B. Nagar Colony, near Bus Stand, Shamshabad",+919666635752,+919666635752,Unknown,Unknown,Unknown,https://bachpanshamshabad.com/,broken,,,,https://www.google.com/maps/search/Bachpan+Shamshabad,10,Email field blank on site; phone-led 2025-26 admissions.
Kidzee Preschool & Daycare Punjabi Bagh,2020,New Delhi,Delhi,Punjabi Bagh,+918586878428,+918586878428,Unknown,Unknown,Unknown,,none,https://www.instagram.com/kidzee_punjabibagh/,,,https://www.google.com/maps/search/Kidzee+Punjabi+Bagh,9,Franchise centre; 2025-26 admissions with phone CTA; verify local website.
Little Millennium Play School Patia,2021,Bhubaneswar,Odisha,"HIG-35, Kanan Vihar Phase 1, Patia",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Little+Millennium+Patia+Bhubaneswar,9,Sulekha chain listing; Odisha priority; directory-only presence.
Delhi Public School Hinjawadi,2024,Pune,Maharashtra,"Hinjawadi, Pune",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/DPS+Hinjawadi+Pune,9,New campus April 2024; EOI from Aug 2023; verify launch website status.
RP Goenka International School,2023,Kolkata,West Bengal,"Diamond Harbour Road, Alipore",Unknown,Unknown,Unknown,Unknown,Shashwat Goenka,,none,,,,https://www.google.com/maps/search/RP+Goenka+International+School+Kolkata,9,Launched July 2023; expanding classes through 2025; verify digital stack.
Sant Ravidas Mission Gurukul School,2024,Greater Noida,Uttar Pradesh,"Dayauar village, Jewar",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Jewar+Sant+Ravidas+School,9,Rs 45cr new CBSE residential school; opening Aug 2024; likely minimal web at launch.
Swami Narayan Gurukul International School Tirupati,2024,Tirupati,Andhra Pradesh,"Vikruthamala village, Yerpedu mandal",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Vikruthamala+International+School+Tirupati,9,Foundation stone Dec 2023; new campus; likely minimal website at launch.
Chanakya Public School Bhubaneswar,2021,Bhubaneswar,Odisha,Bhubaneswar,Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Chanakya+Public+School+Bhubaneswar,9,Referenced near Kidzee Kalinga Vihar listing; verify establishment year.
Dartmouth Play School,2022,Patna,Bihar,"A 369, AG Colony",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Dartmouth+Play+School+Patna,9,JustDial claim-business; WhatsApp button; Bihar priority; verify phone from listing.
The Genius English Medium High School,2021,Pune,Maharashtra,"Survey No 60, Hulawale Bendre Wasti, Sakhare Wasti Road, Hinjewadi",+919766290701,+919545002259,kommuriprashanth@gmail.com,Unknown,Unknown,https://limsgemschool.com/,active,,,,https://www.google.com/maps/search/Genius+English+Medium+School+Hinjewadi,8,Official admission page lists personal Gmail; high outreach fit for domain email + ERP.
Pt. Deendayal Upadhyay Public School,2020,Firozabad,Uttar Pradesh,Firozabad,Unknown,Unknown,Unknown,Unknown,Unknown,,none,,https://www.facebook.com/pdupschool/,,https://www.google.com/maps/search/Pt+Deendayal+Upadhyay+Public+School+Firozabad,8,2025-26 admission posts; Messenger-primary outreach; verify phone from page About.
Montessori School Patna,2020,Patna,Bihar,Patna,Unknown,Unknown,Unknown,Unknown,Unknown,https://montessorischoolpatna.in/,broken,,,,https://www.google.com/maps/search/Montessori+School+Patna,8,Admission open 2025-26; enquiry form only; Bihar priority.
Amadeus International School,2018,Kolkata,West Bengal,"F/37, Near West Chowbaga",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Amadeus+International+School+Chowbhanga,8,JustDial listing; claim-business state; no website link on JD; verify phone.
Kidzee Kalinga Vihar,2020,Bhubaneswar,Odisha,"No. 102, Kalinga Vihar",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Kidzee+Kalinga+Vihar,8,Sulekha address only; franchise preschool in Odisha.
DNA Junior Pre-School CDA Cuttack,2020,Cuttack,Odisha,"CDA Sector, Cuttack",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/DNA+Junior+Preschool+Cuttack,8,Sulekha similar-business listing; Odisha play school segment.
Sanskar School Jaipur,2020,Jaipur,Rajasthan,Jaipur,Unknown,Unknown,Unknown,Unknown,Unknown,,none,https://www.instagram.com/sanskarjaipur/,,,https://www.google.com/maps/search/Sanskar+School+Jaipur,8,2025-26 admission post; verify contact from bio.
Adarsh Play School,2020,Hyderabad,Telangana,"Brahmam Gari Temple Street, Ramanthapur",+919440123333,+917901469999,adarshplayschool@gmail.com,Unknown,Unknown,https://adarshplayschool.com/,active,,,,https://www.google.com/maps/search/Adarsh+Play+School+Ramanthapur,8,Gmail contact; Telangana priority; basic WordPress site.
DPS Junior Play School Boring Road,2019,Patna,Bihar,"House No LF/31, Boring Road, Sri Krishna Puri",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/DPS+Junior+Play+School+Patna,8,JD listing with WhatsApp; verify if affiliated DPS or independent preschool.
G D Goenka Toddler House Indira Nagar,2020,Lucknow,Uttar Pradesh,"Building 1407, Sector 16, Indira Nagar",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/GD+Goenka+Toddler+House+Lucknow,8,Established 2020 per JustDial; UP priority; JD WhatsApp CTA.
Kidzee Vaishnavi Vihar Varanasi,2018,Varanasi,Uttar Pradesh,"Vaishnavi Vihar Colony, Susuwahi",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Kidzee+Vaishnavi+Vihar+Varanasi,8,Franchise centre; claim-business on JD; verify local website.
VVPS Little Planet,2021,Ranchi,Jharkhand,"Soso, Kumharia",+919661054126,+919661054126,admission@vvpslittleplanet.com,Unknown,Unknown,https://vvpslittleplanet.com/,active,,,,https://www.google.com/maps/search/VVPS+Little+Planet+Ranchi,7,FAQ explicitly says Call/WhatsApp; Jharkhand priority; admissions enquiry-led.
UNICORN Montessori International School,2021,Buxar,Bihar,"Kadasar, Po Kadasar, PS Sonbersa",Unknown,Unknown,Unknown,Unknown,Unknown,https://unicornmontessori.com/,active,,,,https://www.google.com/maps/search/Unicorn+Montessori+Buxar,7,2026-27 admission banner; Bihar tier-3; basic website.
Crystal International School Lunawada (Proposed Campus),2024,Lunawada,Gujarat,"Lunawada, Mahisagar",+919033771188,+919033771188,info@crystalschool.co.in,Malobika Dutta,Unknown,https://crystalschool.co.in/,active,https://www.instagram.com/crystalschoollunawada/,,,https://www.google.com/maps/search/Crystal+International+School+Lunawada,7,IG post marketed proposed CBSE 2024-25; separate from older CIS entity—verify entity age.
Oi Play School Jubilee Hills,2015,Hyderabad,Telangana,"246, Road No. 17, Jubilee Hills",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Oi+Play+School+Jubilee+Hills,7,Sulekha-only discovery; Telangana priority; verify if rebranded recently.
Seth M.R. Jaipuria School Khalilabad,2023,Khalilabad,Uttar Pradesh,"Bankatiya Mehdawal Road, Near Anaie Jail Road",+916390800092,+916390800091,Unknown,Unknown,Unknown,https://www.jaipuriaschoolkhalilabad.in,active,https://www.instagram.com/smrjs_khalilabad/,,,https://www.google.com/maps/search/Jaipuria+School+Khalilabad,7,New Jaipuria branch UP; 2025-26 admissions; tier-3.
Shemrock EduSprout Preschool Nagole,2021,Hyderabad,Telangana,"Ajaynagar colony, Road 3, Near Krishnaveni School, Nagole",+919642990067,+919642990067,edusprout@shemrock.com,Unknown,Unknown,https://www.shemrock.com/shemrock-edusprout-preschool-in-nagole-hyderabad-telangana/,active,,,,https://www.google.com/maps/search/Shemrock+EduSprout+Nagole,7,Franchise microsite on parent domain; admission open banner.
GKB International School,2019,Baksa,Assam,"Rupahi, Baksa",Unknown,Unknown,Unknown,Ugyen Pempa,Unknown,https://gkbischool.com/,active,,,,https://www.google.com/maps/search/GKB+International+School+Baksa,6,First international school in Baksa; established 2019; verify admission Gmail/phone on site.
Mahabahu Public School,2025,Kamrup,Assam,"Dimu Dobok Chariali, Kamrup",Unknown,Unknown,Unknown,Unknown,Unknown,https://www.mahabahupublicschool.com/,active,,,,https://www.google.com/maps/search/Mahabahu+Public+School+Kamrup,6,New CBSE school; admissions from 2025; high greenfield digital opportunity.
Mere Nanhe Kadam Play School,2020,Ranchi,Jharkhand,"Line Tank Road, Behind Firayalal",+917280045007,+918298898014,Unknown,Unknown,Unknown,https://www.merenanhekadam.com/,active,,,,https://www.google.com/maps/search/Mere+Nanhe+Kadam+Ranchi,6,Multiple branches Ranchi/Ramgarh; generic webmail on site; WhatsApp helpline.
The Divine School Ranchi,2022,Ranchi,Jharkhand,Ranchi,+917273940881,Unknown,Unknown,Unknown,Unknown,https://thedivineschool.co.in/,active,,,,https://www.google.com/maps/search/Divine+School+Ranchi,6,Template placeholder content on site (Milford Road NY); broken/weak branding signal.
Sanskriti School Wagholi Campus,2022,Pune,Maharashtra,Wagholi,Unknown,Unknown,Unknown,Unknown,Unknown,https://sanskriti.tillitclicks.tech/,active,,,,https://www.google.com/maps/search/Sanskriti+School+Wagholi,6,Third-party tillitclicks admission microsite; weak owned infrastructure.
ABC Play School Manikonda,2021,Hyderabad,Telangana,"Lanco Hills IT Park, Manikonda",Unknown,Unknown,Unknown,Unknown,Unknown,https://abcplayschools.com/,active,,,,https://www.google.com/maps/search/ABC+Play+School+Manikonda,6,Franchise expansion page; enquiry form only.
Brahma Baba Techno School,2018,Kokrajhar,Assam,"Vill Janagaon, Titaguri Part-II, Kokrajhar",+916003214405,+919435269999,Unknown,Unknown,Unknown,https://brahmababats.in/,active,,https://www.facebook.com/,,https://www.google.com/maps/search/Brahma+Baba+Techno+School+Kokrajhar,5,Facebook-forward discovery; BTAD Assam; verify domain email.
Metas Adventist School,2020,Ranchi,Jharkhand,"Bariatu Road, Baragain",+9199440352,Unknown,info@metassdaschool.com,Unknown,Unknown,https://www.edoovi.com/schools/ranchi/metas-adventist-school-baragain,active,,,,https://www.google.com/maps/search/Metas+Adventist+School+Ranchi,5,Third-party listing as primary web; typo domain email; Jharkhand.
Krishna Public School Nehru Nagar Bhilai,2020,Bhilai,Chhattisgarh,Nehru Nagar,+917882292715,Unknown,Unknown,Unknown,Unknown,https://www.krishnapublicschool.com/,active,,https://www.facebook.com/kpsnehrunagar/,,https://www.google.com/maps/search/Krishna+Public+School+Bhilai,4,2024-25 FB admissions; multi-phone; verify site vs social reliance.
Gyaananda School,2020,Gurugram,Haryana,Gurugram,+919999120191,Unknown,admissions@gyaanandaschool.com,Unknown,Unknown,https://www.gyaananda.school/,active,,,,https://www.google.com/maps/search/Gyaananda+School+Gurugram,4,Included for comparison; has domain email—lower score expected.
