school_name,year_established,city,state,address,phone,whatsapp,email,principal_name,director_name,website,website_status,instagram,facebook,linkedin,google_maps,lead_score,notes
J. K. International School Ranchi,2021,Ranchi,Jharkhand,Ranchi,+918828912891,+918828912891,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/JK+International+School+Ranchi,10,2026-27 admissions; directory-only discovery; verify owned site.
Footprints Preschool Shrirang Society,2021,Thane,Maharashtra,"Bungalow A21, Nikan Guruji Marg, Shrirang Society, Thane West",+919136262530,+919136262530,Unknown,Unknown,Unknown,,none,https://www.instagram.com/reel/DI0W2rOAibY/,,,https://www.google.com/maps/search/Footprints+Preschool+Thane+West,10,Influencer-format admissions post; phone CTA; chain centre.
LIMS The Genius English Medium School,2021,Pune,Maharashtra,Hinjewadi,+919145480912,+919545002259,kommuriprashanth@gmail.com,Unknown,Unknown,https://www.limgemschool.com/,broken,,,,https://www.google.com/maps/search/LIMS+Genius+School+Hinjewadi,10,Duplicate entity alias for Genius school; Gmail on admission page.
Birla Public School Sri Ganganagar,2022,Sri Ganganagar,Rajasthan,Sri Ganganagar,+919116138852,+919116138852,Unknown,Unknown,Unknown,,none,https://www.instagram.com/bpsganganagar/,,,https://www.google.com/maps/search/Birla+Public+School+Ganganagar,10,2025-26 admissions IG post; phone CTA; Rajasthan priority.
S.S. Children Academy School,2021,Jaipur,Rajasthan,"35 Vishnu Colony, Opposite ESIC Hospital, Sodala",+918118803203,+918118803203,Unknown,Unknown,Unknown,,none,https://www.instagram.com/ssca.school_jaipur/,,,https://www.google.com/maps/search/SS+Children+Academy+Jaipur,10,Admission enquiry reel with direct phone; verify website.
Bachpan Play School Shamshabad,2022,Hyderabad,Telangana,"R.B. Nagar Colony, near Bus Stand, Shamshabad",+919666635752,+919666635752,Unknown,Unknown,Unknown,https://bachpanshamshabad.com/,broken,,,,https://www.google.com/maps/search/Bachpan+Shamshabad,10,Email field blank on site; phone-led 2025-26 admissions.
Kidzee Preschool & Daycare Punjabi Bagh,2020,New Delhi,Delhi,Punjabi Bagh,+918586878428,+918586878428,Unknown,Unknown,Unknown,,none,https://www.instagram.com/kidzee_punjabibagh/,,,https://www.google.com/maps/search/Kidzee+Punjabi+Bagh,9,Franchise centre; 2025-26 admissions with phone CTA; verify local website.
Little Millennium Play School Patia,2021,Bhubaneswar,Odisha,"HIG-35, Kanan Vihar Phase 1, Patia",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Little+Millennium+Patia+Bhubaneswar,9,Sulekha chain listing; Odisha priority; directory-only presence.
Delhi Public School Hinjawadi,2024,Pune,Maharashtra,"Hinjawadi, Pune",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/DPS+Hinjawadi+Pune,9,New campus April 2024; EOI from Aug 2023; verify launch website status.
RP Goenka International School,2023,Kolkata,West Bengal,"Diamond Harbour Road, Alipore",Unknown,Unknown,Unknown,Unknown,Shashwat Goenka,,none,,,,https://www.google.com/maps/search/RP+Goenka+International+School+Kolkata,9,Launched July 2023; expanding classes through 2025; verify digital stack.
Sant Ravidas Mission Gurukul School,2024,Greater Noida,Uttar Pradesh,"Dayauar village, Jewar",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Jewar+Sant+Ravidas+School,9,Rs 45cr new CBSE residential school; opening Aug 2024; likely minimal web at launch.
Swami Narayan Gurukul International School Tirupati,2024,Tirupati,Andhra Pradesh,"Vikruthamala village, Yerpedu mandal",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Vikruthamala+International+School+Tirupati,9,Foundation stone Dec 2023; new campus; likely minimal website at launch.
Chanakya Public School Bhubaneswar,2021,Bhubaneswar,Odisha,Bhubaneswar,Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Chanakya+Public+School+Bhubaneswar,9,Referenced near Kidzee Kalinga Vihar listing; verify establishment year.
Dartmouth Play School,2022,Patna,Bihar,"A 369, AG Colony",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Dartmouth+Play+School+Patna,9,JustDial claim-business; WhatsApp button; Bihar priority; verify phone from listing.
Pt. Deendayal Upadhyay Public School,2020,Firozabad,Uttar Pradesh,Firozabad,Unknown,Unknown,Unknown,Unknown,Unknown,,none,,https://www.facebook.com/pdupschool/,,https://www.google.com/maps/search/Pt+Deendayal+Upadhyay+Public+School+Firozabad,8,2025-26 admission posts; Messenger-primary outreach; verify phone from page About.
Montessori School Patna,2020,Patna,Bihar,Patna,Unknown,Unknown,Unknown,Unknown,Unknown,https://montessorischoolpatna.in/,broken,,,,https://www.google.com/maps/search/Montessori+School+Patna,8,Admission open 2025-26; enquiry form only; Bihar priority.
Amadeus International School,2018,Kolkata,West Bengal,"F/37, Near West Chowbaga",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Amadeus+International+School+Chowbhanga,8,JustDial listing; claim-business state; no website link on JD; verify phone.
Kidzee Kalinga Vihar,2020,Bhubaneswar,Odisha,"No. 102, Kalinga Vihar",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Kidzee+Kalinga+Vihar,8,Sulekha address only; franchise preschool in Odisha.
DNA Junior Pre-School CDA Cuttack,2020,Cuttack,Odisha,"CDA Sector, Cuttack",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/DNA+Junior+Preschool+Cuttack,8,Sulekha similar-business listing; Odisha play school segment.
Sanskar School Jaipur,2020,Jaipur,Rajasthan,Jaipur,Unknown,Unknown,Unknown,Unknown,Unknown,,none,https://www.instagram.com/sanskarjaipur/,,,https://www.google.com/maps/search/Sanskar+School+Jaipur,8,2025-26 admission post; verify contact from bio.
DPS Junior Play School Boring Road,2019,Patna,Bihar,"House No LF/31, Boring Road, Sri Krishna Puri",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/DPS+Junior+Play+School+Patna,8,JD listing with WhatsApp; verify if affiliated DPS or independent preschool.
G D Goenka Toddler House Indira Nagar,2020,Lucknow,Uttar Pradesh,"Building 1407, Sector 16, Indira Nagar",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/GD+Goenka+Toddler+House+Lucknow,8,Established 2020 per JustDial; UP priority; JD WhatsApp CTA.
Kidzee Vaishnavi Vihar Varanasi,2018,Varanasi,Uttar Pradesh,"Vaishnavi Vihar Colony, Susuwahi",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Kidzee+Vaishnavi+Vihar+Varanasi,8,Franchise centre; claim-business on JD; verify local website.
Oi Play School Jubilee Hills,2015,Hyderabad,Telangana,"246, Road No. 17, Jubilee Hills",Unknown,Unknown,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/Oi+Play+School+Jubilee+Hills,7,Sulekha-only discovery; Telangana priority; verify if rebranded recently.
